Date,OAT,HWST,HWRT,HWDP,HWDPSPT,P1VFD,P2VFD
16-Feb-19 10:45:02 AM CST,nan,nan,nan,nan,nan,nan,0
16-Feb-19 10:45:02 AM CST,nan,nan,nan,nan,10,nan,nan
16-Feb-19 10:45:03 AM CST,24.3,nan,nan,nan,nan,nan,nan
16-Feb-19 11:00:02 AM CST,nan,168,nan,nan,nan,nan,nan
16-Feb-19 11:00:02 AM CST,nan,nan,167,nan,nan,nan,nan
16-Feb-19 11:00:02 AM CST,nan,nan,nan,9.93,nan,nan,nan
16-Feb-19 11:00:02 AM CST,nan,nan,nan,nan,nan,72.11,nan
16-Feb-19 11:00:02 AM CST,nan,nan,nan,nan,nan,nan,0
16-Feb-19 11:00:02 AM CST,nan,nan,nan,nan,10,nan,nan
16-Feb-19 11:00:03 AM CST,25.4,nan,nan,nan,nan,nan,nan
16-Feb-19 11:15:02 AM CST,nan,166,nan,nan,nan,nan,nan
16-Feb-19 11:15:02 AM CST,nan,nan,165,nan,nan,nan,nan
16-Feb-19 11:15:02 AM CST,nan,nan,nan,10.04,nan,nan,nan
16-Feb-19 11:15:02 AM CST,nan,nan,nan,nan,nan,71.38,nan
16-Feb-19 11:15:02 AM CST,nan,nan,nan,nan,nan,nan,0
16-Feb-19 11:15:02 AM CST,nan,nan,nan,nan,10,nan,nan
16-Feb-19 11:15:03 AM CST,24.8,nan,nan,nan,nan,nan,nan
16-Feb-19 11:30:02 AM CST,nan,168,nan,nan,nan,nan,nan
16-Feb-19 11:30:02 AM CST,nan,nan,167,nan,nan,nan,nan
16-Feb-19 11:30:02 AM CST,nan,nan,nan,10.04,nan,nan,nan
16-Feb-19 11:30:02 AM CST,nan,nan,nan,nan,nan,70.93,nan
16-Feb-19 11:30:02 AM CST,nan,nan,nan,nan,nan,nan,0
16-Feb-19 11:30:02 AM CST,nan,nan,nan,nan,10,nan,nan
16-Feb-19 11:30:03 AM CST,25.6,nan,nan,nan,nan,nan,nan
16-Feb-19 11:45:02 AM CST,nan,168,nan,nan,nan,nan,nan
16-Feb-19 11:45:02 AM CST,nan,nan,167,nan,nan,nan,nan
16-Feb-19 11:45:02 AM CST,nan,nan,nan,9.99,nan,nan,nan
16-Feb-19 11:45:02 AM CST,nan,nan,nan,nan,nan,70.84,nan
16-Feb-19 11:45:02 AM CST,nan,nan,nan,nan,nan,nan,0
16-Feb-19 11:45:02 AM CST,nan,nan,nan,nan,10,nan,nan
16-Feb-19 11:45:03 AM CST,26.4,nan,nan,nan,nan,nan,nan
16-Feb-19 12:00:02 PM CST,nan,166,nan,nan,nan,nan,nan
